"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","PDK4",45.5115313288208,0.709157722514424,0.555281056270179,0.00138253380506505,0.00605399677983528
"2","ARHGAP44",263.171028420983,1.3733018826521,0.266560647863127,2.6914829173865e-09,7.73896783905617e-08
"3","PROM1",554.039523115089,1.79909896882141,0.40195173315577,4.19113220928164e-08,8.58675111103226e-07
"4","CACNA2D2",11.1422175528848,0.544334860957452,0.332785816534603,0.00135966797030946,0.00596586611152189
"5","MYLIP",120.761527765121,0.956744601236524,0.16519296606371,3.49881371679475e-10,1.29447615255103e-08
"6","SEMA3G",16.3415424865456,0.580438575135912,0.310078271304455,0.000656928387253886,0.00324471584657104
"7","MRC2",4629.18288870047,0.564235999898223,0.0707957167149917,3.36511978703183e-18,9.15973587745111e-16
"8","SEMA3B",186.016908355546,0.504943899378708,0.227357963530822,0.000310129080401238,0.00173161083243812
"9","LTF",45.8207375865616,1.56942086290275,0.394911023578981,3.64554917500241e-07,5.6130410176325e-06
"10","CALCOCO1",459.727244199193,0.621873210578355,0.121046462273031,1.25282575501854e-09,3.88146808612756e-08
"11","GPRC5A",453.364763043776,0.62565063540614,0.291715821971902,0.000274737192236466,0.00156671119388718
"12","MAMLD1",1117.63128349287,-0.558580190686099,0.180740173109268,1.26843274364159e-05,0.000116544426228624
"13","CNTN1",98.1889223083272,-0.803714765071348,0.372838350088387,0.000190256081263757,0.00114672734151975
"14","PLEKHB1",660.855346085977,0.946946162856872,0.21274278411353,1.79560332908724e-07,3.03105000501405e-06
"15","NRXN3",207.361025693771,0.597624163296365,0.278339679178041,0.00028995181344594,0.00163856836988381
"16","NR1H3",71.298492956363,0.50254553891449,0.130535754544617,6.5314681306345e-07,9.2699412211603e-06
"17","KCNG1",119.219450771008,-0.506323547845593,0.198051779145373,0.000103316799304926,0.000686511757543583
"18","BTN3A1",339.218354969622,0.541162632500577,0.13008114134301,1.34802784362329e-07,2.38652594893725e-06
"19","ARNTL2",2958.18960950482,-0.693686021032676,0.183794733573354,1.11095135217837e-06,1.48026498787193e-05
"20","ADAM28",55.7358385332446,0.952371487278232,0.285557153407871,7.44353779624177e-06,7.46193439030424e-05
"21","EPHA3",2819.90585604736,0.844663464327618,0.404779303255312,0.000204070897013055,0.00121666427727397
"22","CP",225.224417047019,1.8733498145758,0.526300961480684,1.04227757384121e-06,1.39608410000541e-05
"23","ADAMTS6",237.048669667704,-1.75144069342099,0.421863702737144,1.60111929960098e-07,2.7330192031151e-06
"24","DKK3",7045.88691744918,0.504956130321317,0.069695539425417,1.02149887332668e-15,1.48292450724939e-13
"25","TNIP3",13.3769999423935,0.62486689697548,0.597254902970074,0.00241877497073207,0.00960140283303881
"26","MSMO1",5236.29177762199,-0.515133724441142,0.0758069146149061,2.55545497599801e-14,2.78234287136698e-12
"27","CHRDL2",27.8658093681478,4.04877836221929,0.641551301414428,1.3039495760592e-14,1.52893102983618e-12
"28","MCOLN3",254.585252431419,0.503668201816721,0.169001030252533,2.30126038349189e-05,0.00019305510195689
"29","PRDM1",414.071547241449,-0.513656118157436,0.164002634428405,1.23062969555823e-05,0.000113756752270431
"30","SLC2A3",4289.62372486747,1.66801506068318,0.210334779746708,1.45105889106404e-17,3.56749849620793e-15
"31","COL11A1",31.2082817563064,1.05286318756318,0.650862560976909,0.00028229576564803,0.00160381451948301
"32","EYA2",97.8425546934515,1.29083594792197,0.416685076638515,8.21493647857657e-06,8.05275091594487e-05
"33","ABCA7",121.803126192373,0.668477993389366,0.0931745832445863,6.85832095167928e-15,8.43075695697156e-13
"34","COL17A1",47.6662493915219,-0.940986136136634,0.511360278120122,0.000265218581751028,0.0015267808940303
"35","FAM107B",250.561024128153,-0.691003334952089,0.124403903979542,2.61163596296203e-10,9.92747306319957e-09
"36","NAV3",2133.20308894551,-0.633746046012177,0.0900813485486463,1.05562124397746e-14,1.25709645483972e-12
