gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ANKRD13A,1732.1240402372016,-0.426401447639129,0.11404868563652211,2.3510015775696654e-6,2.603250217421846e-5
RAP1GAP,42.01018730295566,0.6698959953496713,0.3381976401812175,3.870322228067885e-4,0.001944385398171735
CAPN6,60.91427518759128,1.9910779402445171,0.30906502251397566,1.1689985310505094e-12,7.784868519514667e-11
PIAS2,1369.8921368734498,0.31675206542144124,0.06634374636807157,1.825352630593381e-7,2.850700048530681e-6
NEBL,76.09994675916562,0.5462648847598647,0.3750024230818069,0.0020036394265851975,0.007688877799546023
ADCYAP1R1,453.7631587936853,0.6712720076461854,0.2786866922170947,1.1808417057459567e-4,7.154988498592883e-4
SLC1A3,4330.713574164401,0.40273782038546163,0.1016264093470356,1.3486632959370582e-6,1.630173665414331e-5
FDFT1,3658.2254298641365,-0.6435208084494378,0.071022659182205,9.50256160956956e-22,4.968783881626039e-19
PGM1,1180.5172410788155,0.6245714831171285,0.10268918575839488,5.3403241001741594e-12,3.0157878258503516e-10
PTPRH,56.49922282859777,0.7653638292274965,0.2735667953323056,3.5843097271603704e-5,2.593710134702722e-4
SLC4A4,1305.2457830938592,0.6359396303097461,0.24207349061455127,6.161561401610329e-5,4.112951483117476e-4
PUM3,1252.3824620076584,-0.44170469246258376,0.04871286748815368,7.403498284125027e-22,4.02009956827989e-19
IGSF9B,164.44885517564379,1.0176419934124947,0.1382811656958966,1.2578297387320259e-14,1.36600309626298e-12
CXCL2,112.10142384085601,1.0368064021659982,0.47887499609339057,1.117665079225974e-4,6.830820601087576e-4
STK17B,627.5236443376266,-0.4832829472812774,0.0865945851570512,9.451873060354374e-11,3.790952950740996e-9
PCDHA6,120.23453322783696,0.8865699963437726,0.23454098033141135,1.8601838568737836e-6,2.1386055123244363e-5
ATP8B1,360.1420166598392,-1.1105821065023505,0.24335819903213876,9.509673143010087e-8,1.6372873833294686e-6
ME2,1426.7895446885746,-0.3136025876933154,0.07722685390672455,4.896826629510513e-6,4.8443400599272e-5
FAM135A,626.7857845948004,0.3466943063501953,0.08410012779251128,2.0208332025875988e-6,2.287900814284821e-5
GEMIN5,1071.8357455009138,-0.3684430245268359,0.060278718608389875,3.7338342088852345e-11,1.7004603664852173e-9
SEMA5B,105.67715610957661,1.7359388061651608,0.2715091347344428,1.1403597299325449e-12,7.703157257027592e-11
ITGB5,5077.559395586784,0.5706847354461368,0.10453071905729429,1.4629244281764722e-10,5.612382357879194e-9
PLOD1,2079.623532606256,0.34873711045361255,0.045123663611806655,6.737803175926338e-16,9.41824804333941e-14
ITGAE,237.19696427048478,-0.3487466989859338,0.0993665160151882,2.1971659276470378e-5,1.7271485838820088e-4
MECOM,480.55096964267807,-0.5174637083396975,0.07779289953899403,6.898608728409231e-14,6.407536712347469e-12
IGSF9,45.87155365426286,0.644976310995414,0.2973434097173585,2.45538925630206e-4,0.001326643150419919
B4GALT1,3474.2361366593914,0.3648701842762833,0.1077394153991742,2.5627229435713867e-5,1.9599416314919197e-4
DIMT1,668.7935786162215,-0.38269490820996205,0.059895279646876375,4.580997929127366e-12,2.6290458846918763e-10
HSD17B2,34.699630517817724,0.8968341007423927,0.4585370298200017,2.3729681020244608e-4,0.0012885216793992822
FTL,11740.952733068807,0.5699902177611088,0.10095703119898562,4.849115333784437e-11,2.1327043701672486e-9
PSMC5,3509.2602047600967,-0.3603518436975026,0.04927879375690092,1.2433846643154158e-14,1.360783309364732e-12
GNAS,27368.105525344065,0.3282060422024938,0.11039485826573556,1.9504437983006842e-4,0.0010875341842183674
AURKA,2259.9369896986864,-0.33695076934885315,0.07937912179168446,1.4431715507414938e-6,1.7310701744578088e-5
PIR,416.41610546132557,0.3355560230720537,0.12536475554373408,4.167223106133368e-4,0.0020643107302593293
ASAP3,408.23871593816915,0.40145317702702255,0.058178920593596695,9.099969965463784e-14,8.235472818744725e-12
TPX2,7372.825782015047,-0.3394307988450597,0.08501639553504552,4.009532768563848e-6,4.1108630084665514e-5
DOCK9,946.1294542088593,-0.33363828515799787,0.1465567127395473,0.0012517085181597337,0.005167140602157637
ANKRD10,945.1409303660047,0.3771211403372768,0.05862907171501568,3.946837076367007e-12,2.3120931885539171e-10
SMOX,961.0688020454776,0.6430595976010945,0.0920871467141955,1.7535586686236624e-14,1.8614091190698393e-12
EBF4,184.24711942446504,0.4074963591401139,0.14874668199107277,1.227464132422474e-4,7.39937601261336e-4
LZTS3,303.8457941138086,0.6078411626532717,0.13594729176529768,3.413287330845929e-8,6.668248005387435e-7
SLC8B1,399.7729500282121,0.30632683828229706,0.08431816278659979,3.019997767864862e-5,2.2523152924836833e-4
OAS1,247.24786222478022,0.3014118488039849,0.13419831476255975,0.0021747124923021965,0.00822023854520011
RPH3A,239.59081949947787,-0.8579827935642763,0.27106394796493233,1.2366326492477309e-5,1.0606792066876952e-4
TBX5,143.8594700281335,0.6191225280014145,0.26835982198275,1.7158905494803455e-4,9.768122087727225e-4
FXYD5,830.9559156998826,-0.5367504401345443,0.07228652223842547,2.2585334351658247e-16,3.6650546020311625e-14
HEPH,634.148088553205,0.41632897279859044,0.07342098275099343,1.8027044207185304e-10,6.662455762226233e-9
LAG3,32.992214334963464,0.497160720151412,0.31460573075880355,0.0018923842910299556,0.007317633914204578
LTBP4,1173.8045837605828,0.47303340947163397,0.08136777908212091,2.6432838721930623e-11,1.26073924687911e-9
YPEL3,110.86210483998508,0.7793172700664801,0.16461214668031668,3.267408819353222e-8,6.424690489084789e-7
ICAM1,1677.9188623097177,1.230900388890899,0.28761992103391676,2.1578474958235552e-7,3.300594902062508e-6
P3H2,741.1684957277276,0.48904818497170205,0.21815987720344251,3.120877981883106e-4,0.0016198733583906505
FLT3LG,74.13775471087455,0.310551013296344,0.13303451728837642,0.0015303304727244274,0.00614133189707887
GNPTG,354.6114602522844,0.3027051598086336,0.0822214748477071,2.6782897793976785e-5,2.0312448367205534e-4
MCOLN1,305.5276828898943,0.3217607478040201,0.09465544407758539,5.349236292246214e-5,3.6290493980745814e-4
DLL3,33.53148397152605,-0.335326399414607,0.15199075296465,0.001455026997171898,0.00589442500604673
SEL1L3,2689.7579454716792,0.9499405956339166,0.28700752187269707,7.961258242576578e-6,7.29707734726109e-5
ALKBH5,2413.203314227386,0.3682017233942352,0.08848895114715397,1.1159946324499939e-6,1.377238830500788e-5
CCDC80,4845.859007482403,-0.384990531618337,0.08495438539428883,1.4796066860791226e-7,2.3825484957711836e-6
SLC22A17,379.2186451285732,0.5696505176578542,0.126514637064544,2.5524821510320676e-8,5.133325214853381e-7
COL9A3,2223.5134188136335,0.48601608332764834,0.14472684883352638,5.858815753693715e-6,5.6422074222815736e-5
CLSPN,1405.6761305248306,-0.3520460459274608,0.0678142312427998,1.0899905322840081e-8,2.450395913182425e-7
TGFB2,319.66622538038683,0.8999133086358649,0.2990660467341248,1.8984584612255483e-5,1.520274336675116e-4
CDC6,1451.2995465104823,-0.3411001550250674,0.05635225368709626,9.750143348517889e-11,3.877535881531706e-9
HOOK2,156.63039204287074,0.34043567870743396,0.10466443016113507,6.339529337300712e-5,4.209853019003361e-4
WHRN,176.48456808244768,0.836260599478388,0.15170282322197956,1.1327813937787392e-9,3.2906600241498433e-8
SEMA4G,122.53084117075147,0.6468255439429553,0.13631344614002255,1.146706287958492e-8,2.559696984469859e-7
BAMBI,139.91183820553465,1.1998130476200437,0.3780190949006013,7.93731820921473e-6,7.28602460843261e-5
HSP90AB1,26013.16650012987,-0.3185079415563886,0.04144502227983016,1.7070387899620572e-15,2.1517833604182431e-13
ACOT7,1144.2787552580435,-0.3059209195781908,0.06425664772773972,2.3592717299970164e-7,3.550980627302546e-6
SCD,87384.30080294874,0.8079390695284305,0.2236149268778275,2.866442880895632e-6,3.065790953976101e-5
PALMD,229.29599555344964,0.4150731883371458,0.11994324339146856,8.497849499227556e-6,7.698442157429234e-5
MZF1,215.00608499202642,0.6094734364836772,0.11474067741277817,4.3408780051846173e-10,1.4419886041693277e-8
MTAP,517.8674286130266,-0.33773952914183897,0.17248949098254165,0.0025361802382839393,0.009317146136896345
IZUMO4,17.461516037576057,0.5882686387137236,0.3994986351118334,0.00163157152738593,0.0064623982539372725
RASSF7,82.23068367763204,0.4922779316403798,0.21785860676264615,2.9030159812371074e-4,0.0015264349952739474
MKNK2,847.1415328846175,0.31535028484917726,0.09234737438829715,5.6800552023124204e-5,3.833222722095925e-4
ARVCF,97.11708783204878,0.4272768964980416,0.1995895846526723,6.332643201755639e-4,0.002933210522387996
RANBP1,2152.9746038866897,-0.3243853336271071,0.05395251829443002,1.7346544412446877e-10,6.461702216752639e-9
TBC1D10A,189.93373267763027,0.3537487429582412,0.12066367869821229,1.441082935736741e-4,8.46306526070354e-4
SUSD2,9.233813552718582,0.9376754798015776,0.4373240318859372,1.4574403661142752e-4,8.544909920598562e-4
RNF215,238.98591041524014,0.3582717855465773,0.10161799895237512,1.7372254556810207e-5,1.4152422956321205e-4
SEC14L2,502.17715861540484,0.4459066274258874,0.1504112662188786,3.716872340474796e-5,2.678652562676017e-4
YPEL1,62.44583940197967,0.48361876879530924,0.21905091600033227,3.566176473248351e-4,0.0018136628043703249
SEZ6L,2362.046114362348,0.6130015872510511,0.4318054185656984,0.0016354393683290992,0.00647298374041778
DEPDC5,214.537217213381,0.3375608011895999,0.11398470997622843,1.722282791376887e-4,9.792665504896856e-4
PICK1,110.81273485401917,0.3526523603959874,0.11772175150315722,1.1975255776618135e-4,7.240542229305989e-4
KDELR3,589.8057432314564,0.3319530014309397,0.10519776264873933,1.0199810357110296e-4,6.313061053120699e-4
RHBDD3,147.6986703336729,0.32709482110986327,0.09767190609226978,5.792032007814102e-5,3.899471048465403e-4
NEFH,101.22943356362059,-0.7837889410038716,0.1816220582163578,1.9652550869474406e-7,3.0456060721760665e-6
HMOX1,2471.2925348379063,0.47058253478405965,0.22431496453542726,5.342466674533724e-4,0.0025422443146029023
ARSA,169.21357317127166,0.5970615314594423,0.09239905324219674,3.3816061206961046e-13,2.6376527741429615e-11
CBX7,152.81240136336135,0.49362209995419964,0.19352606059783012,1.1161243863665413e-4,6.824358634353758e-4
SYNGR1,233.70919832284574,0.43058629335774945,0.12103267510972598,4.647100330237924e-6,4.639870046838685e-5
APOL1,288.3027422303069,0.7925980281401579,0.18833459260237423,3.127376991297512e-7,4.565905725246978e-6
MYH9,16423.896717044518,-0.5664291259091168,0.11402738812618424,2.2751753477876994e-9,6.189002998086077e-8
SGSM3,322.02967917942743,0.3246507209942135,0.09601558805608718,5.409333031005956e-5,3.66629686662228e-4
RANGAP1,1870.0001876228698,-0.316483919350518,0.07221282499586575,1.1528068005921371e-6,1.414016195548201e-5
HDAC10,102.39330878003128,0.3261822897326499,0.14586137266329283,0.0015385225647645891,0.006170699309473429
COCH,143.7022939077412,0.48446980912528526,0.1263810135826565,7.959649024685444e-7,1.0197307162478138e-5
TRIM9,1542.9056739831226,0.6275078252418202,0.09520719221071836,2.0631061102797836e-13,1.6883283827261078e-11
GNPNAT1,1771.3607032518184,-0.3694476778684875,0.06470134395953449,4.1391524396328985e-10,1.3847524678373758e-8
PLEK2,31.06977498997585,-0.6999364739468137,0.44208723657488164,8.752668792920115e-4,0.0038316334269285638
KIAA0586,946.4009208205466,-0.3335932283646815,0.0634674390405618,1.1227649747647629e-8,2.516062843449035e-7
PSMC1,567.7609856776601,-0.3262747614069544,0.06454293492546179,3.7285395734444914e-8,7.250622823400735e-7
PAPLN,91.24770790027618,0.7016372149965849,0.20700553437744768,4.811481651750927e-6,4.776968914164528e-5
PCK2,202.43412187951714,0.3162463308028196,0.07619666120891729,3.200486043204139e-6,3.3820705058350324e-5
NFKBIA,795.6503426709966,0.4182668973806659,0.1480297089107364,8.124010956001675e-5,5.225628619358162e-4
